"etape","long","court","option"
5,"PORT(E|IQUE(S|))","PORT",
5,"POTERNE","POTE",
5,"POURTOUR","POUR",
5,"PRESQU ILE","PRES",
5,"PROMENADE","PROM",
5,"QUARTIER","QUAR",
5,"RACCOURCI","RACC",
5,"RAIDILLON","RAID",
5,"RAMPE","RAMP",
5,"REMPART","REMP",
5.0,"RESIDENCE","RES",
5,"RESIDENCE(S|)","RESI",
5,"ROCADE","ROCA",
5,"ROQUET","ROQU",
5,"ROTONDE","ROTO",
5,"ROUTES","ROUT",
5,"RUELLE(S|)","RUEL",
5,"SENT(E|ES|IER|IERS)","SENT",
5,"STADE","STAD",
5,"STATION","STAT",
0,"TERRE PLEIN","TERR @",
5,"TERR(AIN|ASSE(S|))","TERR",
5,"TERTRE(S|)","TERT",
5,"TRAVERSE","TRAV",
5,"VALL(EE|ON)","VALL",
5,"VENELLE(S|)","VENE",
5,"VIEILLE ROUTE","VIEI",
5,"VIEUX CHEMIN","VIEU",
5,"VILLA(GES|S|)","VILL",
5,"VOIE COMMUNALE ","VOIE C ",
5,"VOIES","VOIE",
6," SAINTES "," STES ",
6," SAINTS "," STS ",
6," SAINTE "," STE ",
6," SAINT "," ST ",
7.0," JUILLET "," juil ",
7.0," SEPTEMBRE "," sep ",
7.0," OCTOBRE "," oct ",
7.0," NOVEMBRE "," nov ",
7.0," DECEMBRE "," dec ",
0," PROLONGE(E|)$"," PROL",
0," INFERIEUR(E|)$"," INF",
"1.5","^CENTRE","CTRE",
9," L (HUILIER)"," l \g<1>",
9,"([a-z]) DE LA (BARRE|BEDOYERE|BORDERIE|BOULINIERE|BOURDONNAIS|BRIFFE|BROSSE|BRUYERE|BULLY|CELLE|CHAIZE|CLOCHETERIE|CLYTE|COCHINIERE|COLOMBIERE|CONDAMINE|DEULE|DROME|FAYETTE|FERRE|FERRIERE|FORCE|FOU|FOUCHARDIERE|FRESNAYE|FUTAYE|GONTRIE|GORCE|GRAVIERE|GUERCHE|GUERONNIERE|HALLE|HAYE|HIRE|HONTAN|HOURTIQUE|HUERTA|MADIE|MARCK|MENNAIS|METHERIE|METTRIE|MOISSONNIERE|MORTEAU|MORVONNAIS|MOTHE|MOTTE|NOE|PEROUSE|PLATIERE|POMMERAYE|PORREE|PRADELLE|PROVOTE|QUINTINIE|ROBRIE|ROCHEFOUCAULD|ROCHEFOUCAULT|ROCHEJAQUELEIN|ROQUE|ROSE|ROVERE|SALLE|SORINIERE|TAILHEDE|TAILLE|TIBERGERIE|TOUCHE|TOURFONDUE|TREILLE|TREMBLAYE|TREMOILLE|VAISSIERE|VALLEE|VALLIERE|VARENDE|VAULX|VERNE|VIEUVILLE|VILLE|VILLEHERVE|VILLEMARQUE|VILLETTE|ZOUCH)","\g<1> de la \g<2>",
9," DE LA (BILLARDIERE|BOLLARDIERE|BOISSIERE|CHAPELLE|CHARRIERE|CHETARDIE|CONTRIE|COTARDIERE|CROIX|DROUERIE|GONZEE|GRAVIERES|HUARDIERE|JOSSERIE|LARGERE|MALLERIE|METTRIE|MERLIERE|MEURTHE|MOISSONNIERE|NOE|ROGERIE|SALLE|TOUR|VALETTE|VIGERIE)"," de la \g<1>",
9,"([a-z]) DE L (AIGLE|ECLUSE|ESTOILE|HOSPITAL|ISLE|OYE)","\g<1> de l \g<2>",
